target_id	length	eff_length	est_counts	tpm
TRINITY_DN5604_c0_g2_i1	2325	2203.91	0	0
TRINITY_DN9_c4_g1_i10	1025	903.909	948.965	42.1329
TRINITY_DN9_c4_g1_i9	999	877.909	0	0
TRINITY_DN38_c0_g3_i1	2357	2235.91	4	0.0717963
TRINITY_DN81_c0_g1_i9	1451	1329.91	0	0
TRINITY_DN81_c0_g1_i4	1722	1600.91	2.44618	0.0613224
TRINITY_DN81_c0_g1_i17	1786	1664.91	5.62007	0.135471
TRINITY_DN81_c0_g1_i5	1743	1621.91	0	0
TRINITY_DN81_c0_g1_i2	1768	1646.91	0	0
TRINITY_DN81_c0_g1_i13	1629	1507.91	2.93375	0.0780807
TRINITY_DN81_c0_g1_i15	1703	1581.91	0	0
TRINITY_DN78699_c0_g1_i1	232	124.227	1	0.323058
TRINITY_DN9664_c0_g3_i1	573	452.165	6	0.532537
TRINITY_DN77879_c2_g1_i1	221	115.064	0	0
TRINITY_DN77879_c3_g1_i1	205	102.53	0	0
TRINITY_DN77879_c0_g1_i1	692	571.075	0	0
TRINITY_DN10899_c0_g1_i5	461	340.766	0	0
TRINITY_DN10899_c0_g1_i3	254	142.707	0	0
TRINITY_DN2064_c0_g1_i1	1729	1607.91	0	0
TRINITY_DN2064_c0_g1_i4	1675	1553.91	0	0
TRINITY_DN2002_c0_g1_i2	1873	1751.91	25	0.572697
TRINITY_DN2002_c0_g1_i1	2282	2160.91	0	0
TRINITY_DN26193_c0_g1_i1	294	178.177	0	0
TRINITY_DN26193_c0_g2_i1	340	221.688	0	0
TRINITY_DN76929_c0_g1_i1	209	105.608	0	0
TRINITY_DN425_c0_g1_i45	2233	2111.91	0	0
TRINITY_DN453_c9_g1_i2	998	876.909	0	0
TRINITY_DN453_c9_g1_i1	1007	885.909	3016	136.628
TRINITY_DN413_c0_g1_i29	1285	1163.91	0	0
TRINITY_DN413_c0_g1_i22	1334	1212.91	5.12968e-06	1.6973e-07
TRINITY_DN413_c0_g1_i8	1187	1065.91	0	0
TRINITY_DN413_c0_g1_i7	1300	1178.91	0	0
TRINITY_DN413_c0_g1_i32	1319	1197.91	7.61916	0.255258
TRINITY_DN413_c0_g1_i33	1256	1134.91	0	0
TRINITY_DN413_c0_g1_i26	1267	1145.91	0	0
TRINITY_DN413_c0_g1_i16	1252	1130.91	0	0
TRINITY_DN413_c0_g1_i21	1320	1198.91	2.93802	0.0983478
TRINITY_DN413_c0_g1_i6	783	661.961	0	0
TRINITY_DN413_c0_g1_i14	935	813.909	4.44282	0.219068
TRINITY_DN414_c0_g1_i1	603	482.075	3074.96	255.988
TRINITY_DN414_c0_g1_i2	1486	1364.91	335.044	9.85132
TRINITY_DN34392_c0_g1_i1	333	214.928	0	0
TRINITY_DN51669_c1_g1_i1	238	129.138	11.9197	3.70432
TRINITY_DN51669_c2_g1_i1	312	194.963	50.8443	10.4662
TRINITY_DN16271_c2_g1_i1	1989	1867.91	0	0
TRINITY_DN16271_c2_g1_i8	1666	1544.91	1.6073	0.0417534
TRINITY_DN16271_c2_g1_i12	959	837.909	0	0
TRINITY_DN6024_c0_g1_i15	820	698.961	0	0
TRINITY_DN6024_c0_g1_i2	817	695.961	1	0.0576649
TRINITY_DN6024_c0_g1_i25	1169	1047.91	0	0
TRINITY_DN6024_c0_g1_i5	885	763.961	0	0
TRINITY_DN6056_c0_g1_i1	1501	1379.91	0	0
TRINITY_DN6056_c0_g1_i6	1405	1283.91	0	0
TRINITY_DN6056_c0_g1_i4	1332	1210.91	0	0
TRINITY_DN6056_c0_g1_i3	1442	1320.91	0	0
TRINITY_DN6056_c0_g1_i2	1391	1269.91	8	0.252821
TRINITY_DN6056_c0_g1_i5	1301	1179.91	0	0
TRINITY_DN6062_c0_g1_i11	2137	2015.91	0	0
TRINITY_DN6062_c0_g1_i9	2233	2111.91	12	0.228035
TRINITY_DN6062_c0_g1_i6	1978	1856.91	0	0
TRINITY_DN6062_c0_g1_i13	1951	1829.91	0	0
TRINITY_DN99773_c0_g1_i1	207	104.015	0	0
TRINITY_DN32789_c0_g1_i1	271	157.582	2.27583	0.579603
TRINITY_DN811_c2_g1_i2	3026	2904.91	3.99457	0.0551866
TRINITY_DN811_c2_g1_i1	3050	2928.91	0.000331671	4.54463e-06
TRINITY_DN811_c2_g1_i8	3043	2921.91	0.00509877	7.00318e-05
TRINITY_DN811_c2_g1_i9	3170	3048.91	0	0
TRINITY_DN5126_c4_g1_i1	271	157.582	3.24084	0.825367
TRINITY_DN5111_c0_g1_i54	3098	2976.91	0	0
TRINITY_DN5111_c0_g1_i18	3046	2924.91	0.0419577	0.000575698
TRINITY_DN5111_c0_g1_i13	3058	2936.91	0.000391007	5.34307e-06
TRINITY_DN5111_c0_g1_i60	1606	1484.91	0	0
TRINITY_DN5111_c0_g1_i64	3065	2943.91	2.57918e-05	3.51603e-07
TRINITY_DN5111_c0_g1_i55	3038	2916.91	0.957625	0.0131756
TRINITY_DN5111_c0_g1_i50	3078	2956.91	1.68335e-07	2.28472e-09
TRINITY_DN91555_c1_g1_i1	214	109.403	0	0
