target_id	length	eff_length	est_counts	tpm
TRINITY_DN5604_c0_g2_i1	2325	2201.59	0	0
TRINITY_DN9_c4_g1_i10	1025	901.593	463.496	24.2038
TRINITY_DN9_c4_g1_i9	999	875.593	0	0
TRINITY_DN38_c0_g3_i1	2357	2233.59	5	0.105393
TRINITY_DN81_c0_g1_i9	1451	1327.59	0	0
TRINITY_DN81_c0_g1_i4	1722	1598.59	0	0
TRINITY_DN81_c0_g1_i17	1786	1662.59	0	0
TRINITY_DN81_c0_g1_i5	1743	1619.59	0	0
TRINITY_DN81_c0_g1_i2	1768	1644.59	0	0
TRINITY_DN81_c0_g1_i13	1629	1505.59	7	0.218896
TRINITY_DN81_c0_g1_i15	1703	1579.59	0	0
TRINITY_DN78699_c0_g1_i1	232	121.963	1	0.38603
TRINITY_DN9664_c0_g3_i1	573	450.664	8	0.835766
TRINITY_DN77879_c2_g1_i1	221	113.095	0	0
TRINITY_DN77879_c3_g1_i1	205	100.414	0	0
TRINITY_DN77879_c0_g1_i1	692	569.104	0	0
TRINITY_DN10899_c0_g1_i5	461	339.666	0	0
TRINITY_DN10899_c0_g1_i3	254	140.671	2.00621	0.671461
TRINITY_DN2064_c0_g1_i1	1729	1605.59	0	0
TRINITY_DN2064_c0_g1_i4	1675	1551.59	7.86728	0.238723
TRINITY_DN2002_c0_g1_i2	1873	1749.59	0	0
TRINITY_DN2002_c0_g1_i1	2282	2158.59	0	0
TRINITY_DN26193_c0_g1_i1	294	177.196	0	0
TRINITY_DN26193_c0_g2_i1	340	221.004	0	0
TRINITY_DN76929_c0_g1_i1	209	103.555	0	0
TRINITY_DN425_c0_g1_i45	2233	2109.59	0	0
TRINITY_DN453_c9_g1_i2	998	874.593	0	0
TRINITY_DN453_c9_g1_i1	1007	883.593	1855	98.8415
TRINITY_DN413_c0_g1_i29	1285	1161.59	0	0
TRINITY_DN413_c0_g1_i22	1334	1210.59	0	0
TRINITY_DN413_c0_g1_i8	1187	1063.59	0	0
TRINITY_DN413_c0_g1_i7	1300	1176.59	0	0
TRINITY_DN413_c0_g1_i32	1319	1195.59	0	0
TRINITY_DN413_c0_g1_i33	1256	1132.59	0	0
TRINITY_DN413_c0_g1_i26	1267	1143.59	0	0
TRINITY_DN413_c0_g1_i16	1252	1128.59	0	0
TRINITY_DN413_c0_g1_i21	1320	1196.59	0	0
TRINITY_DN413_c0_g1_i6	783	659.802	0	0
TRINITY_DN413_c0_g1_i14	935	811.593	3	0.174033
TRINITY_DN414_c0_g1_i1	603	480.503	3784.02	370.77
TRINITY_DN414_c0_g1_i2	1486	1362.59	585.984	20.2473
TRINITY_DN34392_c0_g1_i1	333	214.187	2	0.439627
